-4083,-816,-3804
-15085,-8217,-22011
24519,-3152,27146
-7681,-21017,-31520
-29625,784,-7160
30241,-26152,-5566
-29911,15579,-30663
8493,-13557,3268
-12507,-9821,-1897
-15307,2779,21703
7695,6779,5112
-21909,13779,4303
3896,5179,12707
8891,7579,12040
-17645,12979,-30575
2491,-12422,27359
15079,-1819,12424
-13056,23982,17367
-30056,19982,13851
20084,-2154,23076
-18705,-32554,-32459
-22116,-11754,-26960
-32280,4184,18266
21319,18584,16591
-3481,32519,-23782
26715,20984,28442
7314,5384,16042
19508,-25952,-17094
-24687,18384,21456
-25085,17784,-22732
-31013,-2016,-8316
-1679,-17752,19220
19922,-3548,-16287
24896,18997,-18229
-17275,24000,12267
-19467,-28935,23131
-27209,-7598,-2164
-12609,-25598,5036
-19402,13611,7228
9999,13809,-1863
24323,27558,-23607
4501,52,7138
-11499,-11549,-5662
-21835,-5349,-24598
10702,-21749,-26662
21902,29452,-12865
-14298,-28284,-23398
29902,-149,-16462
3503,-15749,-8461
6303,21452,-23061
-8097,21052,-15461
-10433,-26884,-24197
-3413,18422,29993
22127,6808,17744
18238,12852,-16862
-15434,11052,-26862
-23698,27187,31338
-11034,9587,1938
-25898,12052,12138
