-8800,907,-29691
22800,9707,-26491
-28600,-17493,-2491
-18423,-13578,-3450
8293,2231,-32564
31290,29623,-953
15800,13907,17309
31141,13724,-10826
-11800,11507,-6291
-11600,-6693,-10091
21536,11907,29109
20936,-31629,-30291
15200,14507,-19691
13400,-9629,-12691
-6800,5707,-2891
-3148,8558,-14347
-5993,31089,23578
3417,-1398,-12898
-27078,10449,21472
-31736,-24093,13909
25860,28070,-8730
800,-23893,10709
19136,-20893,-1891
-2151,30523,-7721
19753,-12754,-2711
-5013,-1554,-26210
-22469,-7470,-15115
5397,-11039,26586
-29261,14781,17213
-17000,-20893,17645
-32644,-15039,-12076
8783,-25383,794
16800,-20093,-91
3400,20307,10709
-23164,24696,25972
9169,-1810,-19324
22949,12349,-12501
17400,-9693,10109
-14000,24907,18509
-5200,-3893,-24827
26917,-3816,-31034
-15163,-6832,-22402
-14400,-20293,-21291
-28014,27437,15234
24305,25213,-32360
4200,13107,-11091
22553,-6955,6864
-24200,-29493,1109
25569,-16525,-7744
8601,-5371,10227
-12800,-28293,28709
16600,9707,14509
-15973,-23365,-6034
28894,-12289,-11711
-21600,-21893,-19691
-28896,30512,-30625
15200,10307,6709
8600,5907,12709
-687,16721,-32710
-22535,22017,-27322
31879,2678,-2831
-7000,-13493,31909
-18285,10066,1463
-27532,20228,-30485
1460,-919,5717
19600,-4093,21245
-31170,-16749,4227
-21342,17268,-2593
-15140,5549,-16988
-18600,-4493,16709
-4400,13907,3909
-15600,-19293,-18891
26000,21707,24709
20800,19107,-12091
600,107,1909
600,107,1909
600,107,1909
