12800,-28093,2309
12000,-10293,-9891
-6800,12907,-8091
15000,6507,17709
-18061,25429,-9387
0,22307,21709
-32536,23707,-4291
20000,11107,-11891
6200,-26493,12909
29600,12507,6109
17600,-12493,-15891
22200,-15293,28309
27486,-26774,-4701
19663,31688,-15509
600,107,1909
-5800,-25293,-10291
30358,20175,17773
-20742,-24232,2764
-11283,-13283,-10224
-17600,5307,-8691
-14000,22907,12509
-9252,-14678,-13331
1153,7230,3030
25477,13669,7629
-21191,-15135,24408
5653,22892,-26345
-688,20854,7463
-9485,-16171,-30221
7600,18107,11109
-17227,-29661,2213
20400,-16093,-21291
11200,307,3709
30140,-17915,-9916
17400,-7493,7509
-17597,-5895,10154
23380,27023,30375
19400,-24293,-14091
12800,15707,-7827
18606,9167,-5227
-1426,4418,16449
1400,-23629,32445
-400,-27493,-5691
-3000,-16893,-11091
-23164,17513,-16350
5000,5307,-8891
18200,16907,-25891
-2800,11307,3509
-21536,-28293,-29491
32136,-28029,22645
-28,-23603,32201
-8901,-95,30995
-24200,-11893,-15491
17468,-19480,7774
5642,22620,1333
-27200,10907,12709
28800,5507,8909
26087,-5435,-15862
-16400,6507,-14291
-18968,-16569,2483
22312,29249,26014
-20000,-22293,19909
-12711,-5745,9191
18118,-14296,6369
26336,31843,-29291
-9600,-25229,-8891
9600,-7493,11709
600,29107,-18491
7218,29501,20187
-5400,-693,19509
-31312,18426,20663
8600,20507,20909
19200,-29229,-27827
